Gender;Weight;Size;Eyes;Hair;Shoesize;Mathgrade;Germangrade;Englishgrade;Smoker;EduMother;SizeMother;SmokeMother;EduFather;SizeFather;SmokeFather;ZodiacSign
male;45;156;brown;black;38;;3;;no;Secondary;152;yes;Secondary;;;Aquarius
male;95;188;gray;black;46;;3;1;no;Upper Secondary;165;no;Degree;168;no;Scorpio
male;80;183;bluegray;brown;44;;1;;no;Secondary;170;no;Secondary;175;no;Pisces
male;74;162;brown;black;42;2;1;1;no;Degree;170;no;Degree;172;no;Aquarius
male;72;182;green;lightbrown;44;2;3;1;no;Upper Secondary;168;no;Degree;184;no;Scorpio
male;70;182;green;blonde;44;3;4;2;yes;Upper Secondary;160;no;Secondary;175;no;Leo
male;62;170;brown;brown;41;4;4;;yes;Secondary;155;no;Secondary;172;no;Sagittarius
male;68;170;bluegray;blonde;42;;4;;no;Secondary;154;no;Secondary;154;no;Leo
male;78;182;brown;brown;44;1;3;4;no;Secondary;166;no;Upper Secondary;179;no;Sagittarius
male;70;180;blue;brown;43;3;4;2;no;Upper Secondary;170;no;Secondary;180;no;Virgo
female;59;167;green;blonde;37;2;2;3;no;Degree;;no;Upper Secondary;;;Scorpio
male;69;180;bluegray;blonde;41;3;3;3;no;Secondary;172;no;Upper Secondary;165;no;Libra
female;50;160;bluegray;brown;37;2;4;;no;Upper Secondary;165;yes;Degree;172;yes;Taurus
male;85;186;greenbrown;brown;43;1;3;1;no;Secondary;167;no;Secondary;173;no;Taurus
male;68;180;brown;brown;43;;3;1;yes;Degree;168;no;Upper Secondary;177;no;Leo
male;70;185;blue;blonde;46;;3;2;no;Secondary;174;no;Secondary;174;no;Pisces
male;80;192;brown;brown;47;;1;1;no;Secondary;168;no;Upper Secondary;186;no;Leo
male;85;183;blue;darkblonde;43;;1;1;no;Secondary;177;yes;Secondary;174;yes;Pisces
male;82;198;blue;blonde;46;;2;1;yes;Degree;178;no;Degree;180;no;Leo
male;75;186;green;blonde;44;3;3;2;no;Upper Secondary;170;yes;Secondary;186;yes;Aquarius
male;58;178;gray;blonde;43;;1;;no;Secondary;170;no;Secondary;175;no;Aquarius
male;58;173;blue;brown;40;3;4;3;no;Secondary;165;yes;Upper Secondary;178;yes;Capricorn
male;74;176;blue;brown;41;;3;;no;Secondary;163;no;Upper Secondary;182;yes;Gemini
male;62;187;brown;brown;42;4;3;3;yes;Degree;;no;Upper Secondary;;no;Gemini
male;67;181;bluegray;brownblonde;37;;3;1;no;Secondary;161;no;Degree;192;no;Aries
male;70;182;brown;brown;43;1;1;1;yes;Secondary;165;no;Upper Secondary;170;no;Taurus
male;70;183;brown;brown;42;4;3;4;yes;Degree;170;no;Degree;182;no;Pisces
male;70;178;graygreen;brown;43;2;4;1;yes;Secondary;160;no;Secondary;165;yes;Leo
male;65;175;green;brown;42;4;;;;;;;;;;Capricorn
male;80;184;bluegray;brown;43;;2;;yes;Secondary;169;no;Upper Secondary;181;no;Scorpio
male;80;183;blue;brown;45;2;2;2;no;Secondary;160;yes;Secondary;190;yes;Pisces
male;57;175;green;brown;40;;3;2;no;Secondary;165;no;Upper Secondary;178;no;Cancer
male;70;176;blue;blonde;42;;3;3;yes;Secondary;155;no;Secondary;182;no;Sagittarius
male;53;176;blue;blonde;42;;3;3;yes;Degree;165;no;Degree;165;no;Libra
male;115;184;brown;brown;45;3;1;3;yes;Degree;170;no;Degree;180;no;Pisces
male;54;161;brown;brown;40;3;1;2;no;Secondary;148;no;Secondary;157;no;Scorpio
male;87;185;brown;brown;43;;2;1;no;Secondary;158;no;Secondary;183;no;Libra
male;62;176;brown;brown;41;4;2;2;yes;Secondary;160;no;Secondary;175;no;Libra
male;87;184;brown;black;47;3;4;;yes;Degree;169;no;Secondary;160;no;Virgo
male;65;175;darkbrown;darkbrown;43;3;4;4;no;Upper Secondary;160;no;Degree;175;yes;Libra
male;48;160;green;brown;39;;1;1;yes;Secondary;150;no;Secondary;173;no;Scorpio
male;90;180;blue;brown;43;2;2;2;yes;Secondary;160;no;Secondary;175;no;Gemini
